"GEOID","gistar01"
"48201100000",0.340239367467313
"48201210100",0.253664710015745
"48201210400",0.231353021349855
"48201210500",0.250261776878768
"48201210600",0.231112476447868
"48201210700",0.238731575942852
"48201210800",0.122177986246096
"48201210900",0.0736888203052883
"48201211000",0.11015473220382
"48201211100",0.10280278284503
"48201211200",0.0893122137208932
"48201211300",0.101546695457436
"48201211400",0.124570666477399
"48201211500",0.130715468795681
"48201211600",0.140441480507506
"48201211700",0.101857712706668
"48201211900",0.242276836016744
"48201212300",0.18576291720979
"48201212400",0.0747980918160659
"48201212500",0.146489308350789
"48201220100",0.0747523027958692
"48201220200",0.136066703051599
"48201220300",0.228360656820686
"48201220400",0.25536303466635
"48201220500",0.136078198860872
"48201220600",0.222062988124738
"48201220700",0.0447771631123995
"48201220800",0.078030607455583
"48201220900",0.0690102040249299
"48201221000",0.064019003803097
"48201221100",0.0703673013654866
"48201221200",0.141499153083812
"48201221300",0.163000222193791
"48201221400",0.198522848687428
"48201221500",0.168004143922359
"48201221600",0.195031760484288
"48201221700",0.12439574435095
"48201221800",0.0798227030839218
"48201221900",0.0738534109647371
"48201222000",0.0704541758607676
"48201222100",0.16980060494123
"48201222200",0.216849987429186
"48201222300",0.132733326201571
"48201222401",0.199672228886985
"48201222402",0.206167645169844
"48201222501",0.239947634604881
"48201222502",0.183239357103862
"48201222503",0.276196378317332
"48201222600",0.291577150187408
"48201222700",0.418952792245274
"48201222800",0.204754933831174
"48201222900",0.23292348978776
"48201223001",0.396143428244695
"48201223002",0.295978538657698
"48201223100",0.409645652118207
"48201230100",0.027865219340667
"48201230200",0
"48201230300",0.16058682740841
"48201230400",0.0838734569740422
"48201230500",0.0257914161699923
"48201230600",0.112659977773544
"48201230700",0.00410975979145587
"48201230800",0.062301023221164
"48201230900",0.195579605019695
"48201231000",0.213399185463489
"48201231100",0.315471994773116
"48201231200",0.444406342440704
"48201231300",0.194363934621463
"48201231400",0.0681537141853608
"48201231500",0.153023597880689
"48201231600",0.117821301113967
"48201231700",0.136257010830052
"48201231800",0.203625444284936
"48201231900",0.299993330268986
"48201232000",0.429234450947379
"48201232100",0.41563935173755
"48201232200",0.571129371997582
"48201232301",0.698720349044366
"48201232302",0.649732319644849
"48201232401",0.55642867930469
"48201232402",0.548151737670478
"48201232403",0.478293952854088
"48201232500",0.333744230235565
"48201232600",0.265318343531393
"48201232701",0.335907956026107
"48201232702",0.356292144761662
